"alleleFreq_SV","htsp_trunc","htsp_point","Assigned"
NA,0,0,"MT-L"
0.1897,0,1,"MT-L htmb"
0.2158,0,1,"MT-L htmb"
0.053,0,1,"MT-L"
NA,0,0,"MT-L"
0.2307,0,1,"MT-H"
0.2361,0,1,"MT-H"
0.8176,1,0,"MT-L"
NA,0,0,"MT-L"
0.163,0,1,"MT-H"
0.176,1,0,"MT-H"
0.2661,0,1,"MT-L"
0.2886,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.0226,1,0,"MT-L"
0.4505,0,1,"MT-L"
0.3712,0,0,"MT-L htmb"
0.3451,0,1,"MT-L htmb"
NA,0,0,"MT-L"
0.4497,0,1,"MT-L"
0.49,0,0,"MT-L"
0.0808,0,0,"MT-L"
0.1637,0,1,"MT-L"
0.1893,0,0,"MT-L"
NA,0,0,"MT-L"
0.3756,0,0,"MT-L htmb"
0.1346,1,0,"MT-L"
0.8401,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2617,0,1,"MT-L"
0.0229,0,1,"MT-L"
0.2267,0,0,"MT-H"
0.1815,0,0,"MT-H"
0.1031,0,1,"MT-L htmb"
0.1198,1,0,"MT-L htmb"
NA,0,0,"MT-L"
0.2404,0,1,"MT-L"
0.8391,1,0,"MT-L"
0.5329,0,0,"MT-L"
0.2297,0,0,"MT-L"
0.1914,1,0,"MT-H"
0.201,1,0,"MT-H"
0.0436,0,0,"MT-L"
0.0193,0,1,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L htmb"
0.8911,0,0,"MT-L"
0.1801,0,1,"MT-L htmb"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1056,1,0,"MT-H"
0.1134,1,0,"MT-H"
0.3365,0,1,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.3074,0,0,"MT-L"
0.2759,1,0,"MT-H"
0.0241,1,0,"MT-H"
0.0936,0,0,"MT-H"
0.2775,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.5097,0,1,"MT-L"
NA,0,0,"MT-L"
0.397,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1192,1,0,"MT-H"
0.1369,1,0,"MT-H"
0.1872,0,0,"MT-L"
0.2389,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.5111,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.4046,1,0,"MT-L"
0.2163,0,0,"MT-L"
NA,0,0,"MT-L"
0.0231,0,0,"MT-L"
0.1847,0,1,"MT-H"
0.1467,1,0,"MT-H"
0.6051,0,0,"MT-L"
NA,0,0,"MT-L"
0.3652,0,0,"MT-L"
0.1297,0,1,"MT-L"
0.3844,1,0,"MT-L"
0.3823,1,0,"MT-L htmb"
0.3542,0,0,"MT-L htmb"
NA,0,0,"MT-L"
0.8385,0,0,"MT-L"
NA,0,0,"MT-L"
0.3302,0,1,"MT-L"
NA,0,0,"MT-L"
0.1463,0,1,"MT-H"
0.1433,1,0,"MT-L htmb"
0.1388,0,1,"MT-L htmb"
0.1474,0,1,"MT-L htmb"
0.1264,0,0,"MT-L htmb"
NA,0,0,"MT-L"
0.0623,1,0,"MT-L"
0.4069,0,0,"MT-L"
0.2396,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.6294,0,1,"MT-L"
0.5135,0,1,"MT-L"
0.1583,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2576,1,0,"MT-L"
0.2446,0,0,"MT-L"
0.4702,0,0,"MT-H"
NA,0,0,"MT-L"
0.382,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1221,1,0,"MT-H"
0.1339,1,0,"MT-H"
0.9359,1,0,"MT-L"
0.5932,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
